Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
21,21,21,21.0,0,,,,0,3,0,,,0.0,,,153,,,224,,1,0,0.0,,0.0,,2022-01-23T14:00:00Z,,,,13,,,11,0,,0,0,,0,23,0,58909,,,,3,1,0.0,1,-8525,127073,135598,58,True,,0,2,4,23,2021-22,,,,,,Jordan_Ayew
22,22,22,22.0,0,,,,0,5,0,,,7.1,,,153,,,234,,0,0,0.8,,1.2,,2022-02-09T19:45:00Z,,,,20,,,15,0,,0,0,,0,24,0,71423,,,,1,1,0.0,1,12318,18730,6412,58,False,,0,2,2,24,2021-22,,,,,,Jordan_Ayew
23,23,23,23.0,0,,,,0,7,1,,,8.8,,,153,,,241,,0,0,2.1,,4.0,,2022-02-12T15:00:00Z,,,,77,,,3,0,,0,0,,0,25,0,69328,,,,0,0,8.0,2,-1888,3054,4942,58,False,,0,2,2,25,2021-22,,,,,,Jordan_Ayew
24,24,24,24.0,0,,,,0,10,1,,,2.8,,,153,,,254,,0,0,1.3,,4.6,,2022-02-19T15:00:00Z,,,,84,,,6,0,,0,0,,0,26,0,72845,,,,1,0,6.0,2,1612,5768,4156,58,True,,0,2,4,26,2021-22,,,,,,Jordan_Ayew
25,25,25,25.0,1,,,,0,14,0,,,14.4,,,153,,,178,,0,0,3.5,,19.0,,2022-02-23T19:30:00Z,,,,17,,,18,0,,0,0,,0,26,0,72845,,,,4,1,2.0,4,1612,5768,4156,58,False,,0,2,2,26,2021-22,,,,,,Jordan_Ayew
26,26,26,26.0,0,,,,0,0,0,,,0.0,,,153,,,265,,0,0,0.0,,0.0,,2022-02-26T15:00:00Z,,,,0,,,5,0,,0,0,,0,27,0,71704,,,,1,1,0.0,0,412,3628,3216,58,True,,0,2,2,27,2021-22,,,,,,Jordan_Ayew
27,27,27,27.0,0,,,,0,0,0,,,0.0,,,153,,,280,,0,0,0.0,,0.0,,2022-03-05T15:00:00Z,,,,0,,,20,0,,0,0,,0,28,0,66803,,,,2,0,0.0,0,-4556,1272,5828,58,False,,0,2,3,28,2021-22,,,,,,Jordan_Ayew
28,28,28,28.0,0,,,,0,4,0,,,0.8,,,153,,,285,,0,0,0.7,,5.8,,2022-03-14T20:00:00Z,,,,25,,,12,0,,0,0,,0,29,0,64509,,,,0,0,0.0,1,-2827,1330,4157,58,True,,0,2,5,29,2021-22,,,,,,Jordan_Ayew
29,29,29,29.0,0,,,,2,34,1,,,2.0,,,153,,,304,,0,1,5.0,,38.8,,2022-04-04T19:00:00Z,,,,75,,,1,0,,0,0,,0,31,0,62983,,,,0,3,9.0,8,-724,1002,1726,58,True,,0,2,4,31,2021-22,,,,,,Jordan_Ayew
30,30,30,30.0,0,,,,0,10,0,,,12.1,,,153,,,315,,2,0,5.9,,7.0,,2022-04-10T13:00:00Z,,,,90,,,9,0,,0,0,,0,32,0,79148,,,,1,2,40.0,2,15252,16496,1244,58,False,,0,2,3,32,2021-22,,,,,,Jordan_Ayew
31,31,31,31.0,0,,,,0,1,0,,,1.7,,,153,,,296,,0,0,0.7,,3.6,,2022-04-20T18:45:00Z,,,,50,,,14,0,,0,0,,0,33,0,86278,,,,0,1,2.0,1,7105,11223,4118,58,False,,0,2,3,33,2021-22,,,,,,Jordan_Ayew
32,32,32,32.0,0,,,,0,8,1,,,1.2,,,153,,,336,,0,0,1.2,,8.6,,2022-04-25T19:00:00Z,,,,66,,,10,0,,0,0,,0,34,0,88023,,,,0,0,2.0,2,1784,6660,4876,58,True,,0,2,2,34,2021-22,,,,,,Jordan_Ayew
33,33,33,33.0,0,,,,0,-1,0,,,18.0,,,153,,,346,,1,0,6.8,,9.4,,2022-04-30T14:00:00Z,,,,90,,,16,0,,0,0,,0,35,0,87225,,,,2,1,41.0,2,-780,3973,4753,58,False,,0,2,3,35,2021-22,,,,,,Jordan_Ayew
