Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,assists,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,element,errors_leading_to_goal,errors_leading_to_goal_attempt,fixture,fouls,goals_conceded,goals_scored,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,opponent_team,own_goals,penalties_conceded,penalties_missed,penalties_saved,recoveries,red_cards,round,saves,selected,tackled,tackles,target_missed,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,winning_goals,yellow_cards,own_FDR,opp_FDR,gw,season,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,starts,player
20,20,20,20.0,0,,,,0,5,0,,,0.7,,,118,,,242,,0,0,0.7,,4.0,,2022-02-13T14:00:00Z,,,,28,,,11,0,,0,0,,0,25,0,17114,,,,1,0,2.0,1,-419,725,1144,57,True,,0,2,4,25,2021-22,,,,,,Dwight_McNeil
21,21,21,21.0,0,,,,0,8,1,,,12.5,,,118,,,253,,0,0,4.9,,9.6,,2022-02-19T15:00:00Z,,,,90,,,4,0,,0,0,,0,26,0,19961,,,,3,0,27.0,3,1910,2879,969,57,False,,0,2,2,26,2021-22,,,,,,Dwight_McNeil
22,22,22,22.0,0,,,,0,26,1,,,43.1,,,118,,,124,,0,0,9.6,,21.0,,2022-02-23T19:30:00Z,,,,90,,,17,0,,0,0,,0,26,0,19961,,,,0,1,32.0,3,1910,2879,969,57,True,,0,2,3,26,2021-22,,,,,,Dwight_McNeil
23,23,23,23.0,0,,,,0,12,0,,,5.3,,,118,,,265,,1,0,1.6,,10.2,,2022-02-26T15:00:00Z,,,,90,,,7,0,,0,0,,0,27,0,52574,,,,1,1,0.0,2,22360,23464,1104,57,False,,0,2,2,27,2021-22,,,,,,Dwight_McNeil
24,24,24,24.0,0,,,,0,16,0,,,14.8,,,118,,,213,,2,0,4.5,,20.0,,2022-03-01T19:45:00Z,,,,90,,,9,0,,0,0,,0,27,0,52574,,,,2,0,10.0,2,22360,23464,1104,57,True,,0,2,2,27,2021-22,,,,,,Dwight_McNeil
25,25,25,25.0,0,,,,0,11,0,,,21.5,,,118,,,272,,4,0,6.3,,9.4,,2022-03-05T15:00:00Z,,,,90,,,6,0,,0,0,,0,28,0,27400,,,,4,0,32.0,2,-12019,611,12630,57,True,,0,2,4,28,2021-22,,,,,,Dwight_McNeil
26,26,26,26.0,0,,,,0,2,0,,,19.9,,,118,,,282,,2,0,5.4,,4.4,,2022-03-12T15:00:00Z,,,,90,,,3,0,,0,0,,0,29,0,24274,,,,0,2,30.0,2,-4833,637,5470,56,False,,0,2,2,29,2021-22,,,,,,Dwight_McNeil
27,27,27,27.0,0,,,,0,7,0,,,0.2,,,118,,,302,,2,0,0.7,,6.4,,2022-04-02T14:00:00Z,,,,45,,,12,0,,0,0,,0,31,0,25752,,,,2,0,0.0,1,2582,3603,1021,56,True,,0,2,5,31,2021-22,,,,,,Dwight_McNeil
28,28,28,28.0,0,,,,0,3,0,,,0.0,,,118,,,183,,0,0,1.8,,0.0,,2022-04-06T18:30:00Z,,,,5,,,8,0,,0,0,,0,31,0,25752,,,,2,3,18.0,1,2582,3603,1021,56,True,,0,2,2,31,2021-22,,,,,,Dwight_McNeil
29,29,29,29.0,0,,,,0,12,0,,,15.3,,,118,,,318,,1,0,3.7,,10.0,,2022-04-10T13:00:00Z,,,,26,,,15,0,,0,0,,0,32,0,23739,,,,0,2,12.0,1,-1683,389,2072,56,False,,0,2,2,32,2021-22,,,,,,Dwight_McNeil
